Scheme Name,Category,Description,Apply Link,Min Age,Max Age,Gender,Caste,Income Max (Annual),Occupation,Disability Required,Marital status,Religion,state,Education Required,Minority status,For Orphans,Eligibility Summary
Crop Insurance scheme,Department of Agriculture and Farmers Welfare,"The Crop Insurance scheme aims to provide financial support to farmers in case of crop loss due to natural calamities, pests, or diseases. It ensures stability in farmers' income and encourages them to adopt innovative and modern agricultural practices.",https://www.myscheme.gov.in,18,none,any,any,"Below ₹27,000",Farmer,any,any,any,Central,none,any,any,All farmers (including tenant/sharecroppers) growing notified crops in notified areas.
Market Intervention scheme and Price Support scheme (MIS-PSS),Department of Agriculture and Farmers Welfare,"MIS-PSS supports farmers by procuring perishable and horticultural commodities at minimum support prices during a price fall, ensuring they are protected against market fluctuations.",https://www.myscheme.gov.in,18,none,any,any,"Below ₹27,000",Farmer,any,any,any,Central,none,any,any,Farmers growing notified commodities in states/UTs where procurement is announced by the government.
Distribution of Pulses to states/UTs for Welfare schemes,Department of Agriculture and Farmers Welfare,"This initiative supplies pulses at subsidized rates to states and UTs for distribution through welfare schemes, ensuring nutritional support to economically disadvantaged groups.",https://www.myscheme.gov.in,none,none,any,any,"Below ₹27,000",any,any,any,any,Central,none,any,any,BPL households and beneficiaries of state/UT welfare programs as per local eligibility criteria.
Pradhan Mantri Kisan Samman Nidhi (PM-Kisan),Department of Agriculture and Farmers Welfare,PM-Kisan is a central sector scheme providing income support of Rs. 6000 per year in three equal installments to all landholding farmer families to supplement their financial needs.,https://www.myscheme.gov.in,18,none,any,any,"Below ₹27,000",Farmer,no,any,any,Central,none,no,any,All landholding farmer families with cultivable land are eligible; institutional landholders are excluded.
Agriculture Infrastructure Fund (AIF),Department of Agriculture and Farmers Welfare,AIF provides medium-to-long term debt financing for investment in viable projects for post-harvest management infrastructure and community farming assets.,https://www.myscheme.gov.in,18,none,any,any,null,FPOs / SHGs / startups / Govt Agencies,any,any,any,Central,none,any,any,"FPOs, SHGs, PACS, agri-entrepreneurs, startups, and govt agencies working on agri-infra projects."
National Beekeeping and Honey Mission (NBHM),Department of Agriculture and Farmers Welfare,"NBHM aims to promote holistic growth of the beekeeping sector through research, technology promotion, infrastructure development, and market linkages for honey and other beehive products.",https://www.myscheme.gov.in,18,none,any,any,"Below ₹27,000",Beekeeper / Farmer / Entrepreneur,any,any,any,Central,none,any,any,"Beekeepers, farmers, cooperatives, startups, and orgs involved in honey production/processing."
Blended Capital Support to Finance startups for Agriculture and Rural Enterprise,Department of Agriculture and Farmers Welfare,"A ₹750 cr blended-capital fund (AgriSURE) co-invested by GoI & NABARD to finance agritech & rural startups, FPOs, and value-chain actors via AIFs & direct investments over 10 years.",https://www.myscheme.gov.in,18,none,any,any,"Below ₹27,000",startup / FPO / Agritech Firm,any,any,any,Central,none,any,any,"startups & AIFs in agri, rural enterprise, FPOs, food-processing, energy, mechanisation; must meet GoI startup norms."
NAMO Drone Didi,Department of Agriculture and Farmers Welfare,"A central scheme to equip 14,500–15,000 women-led SHGs under DAY‑NRLM with drones (80% subsidy up to ₹8 lakh), plus training for rental services in spraying/crop monitoring.",https://www.myscheme.gov.in,18,none,female,any,"Below ₹27,000",SHG Member,any,any,any,Central,10th,any,any,Women-led SHGs under DAY‑NRLM from rural low-income groups in agriculture; 1 member must complete DGCA-aligned pilot training.
Cotton Technology Mission,Department of Agriculture and Farmers Welfare,"A mission to promote advanced tech for cotton cultivation with ₹500 cr—covering hybrids, ICT, machinery, and farmer training.",https://www.myscheme.gov.in,18,none,any,any,"Below ₹27,000",Farmer / FPO / Agritech Provider,any,any,any,Central,none,any,any,"Farmers, cooperatives, FPOs, and agritech providers adopting modern cotton cultivation technologies under mission guidelines."
Mission for Vegetables and Fruits,Department of Agriculture and Farmers Welfare,"₹500 cr mission for enhancing production, infrastructure, processing, and marketing of vegetables and fruits.",https://www.myscheme.gov.in,18,none,any,any,"Below ₹27,000",Farmer / FPO / Cooperative / Agrienterprise,any,any,any,Central,none,any,any,"Farmers, FPOs, cooperatives, agrienterprises in horticulture, cold chains, processing linked to mission components."
National Mission on Hybrid Seeds,Department of Agriculture and Farmers Welfare,"₹100 cr scheme for hybrid seed production, R&D, and distribution to boost yields.",https://www.myscheme.gov.in,18,none,any,any,"Below ₹27,000",Farmer / Seed Enterprise / startup,any,any,any,Central,none,any,any,"Seed producers, startups, and agencies involved in hybrid seed production and distribution."
Support for Makhana Board,Department of Agriculture and Farmers Welfare,"₹100 cr support to Makhana producers for cultivation, processing, branding, and exports through a dedicated board.",https://www.myscheme.gov.in,18,none,any,any,"Below ₹27,000",Makhana Grower / Processor / FPO,any,any,any,Central,none,any,any,"Makhana growers, processors, and FPOs in producing regions, registered with the Makhana Board."
Additional transfer to Agriculture Infrastructure,Department of Agriculture and Farmers Welfare,"₹6,000 cr fund (originally ₹4,500 cr) to support rural/agri infrastructure—warehousing, cold chains, farm hubs—via the AIF scheme.",https://www.myscheme.gov.in,18,none,any,any,null,FPO / MSME / Bank / Agri-Enterprise,any,any,any,Central,none,any,any,"FPOs, MSMEs, banks, and agri-enterprises eligible for low-interest loans under AIF to improve agri/rural infrastructure."
National Agricultural Higher Education Project (EAP),Department of Agricultural Research and Education,"Centrally sponsored project with World Bank support to strengthen agricultural education institutions across India through excellence in teaching, faculty development, and research.",https://www.myscheme.gov.in,21,none,any,any,null,University / ICAR Institution / Education Body,any,any,any,Central,Graduate+,any,any,"ICAR institutions, SAUs, and agri-education bodies under ICAR–World Bank framework."
strengthening of Krishi Vigyan Kendras (KVKs),Department of Agricultural Research and Education,Enhances infrastructure and extension services of KVKs to serve as frontline agri-technology transfer centers across India.,https://www.myscheme.gov.in,21,none,any,any,null,KVK / ICAR Extension Unit,any,any,any,Central,Graduate+,any,any,"Eligible KVKs under ICAR and SAUs based on performance, outreach needs, and infrastructure gaps."
Agricultural Production and Post-Production Mechanization with Innovative Technologies,Department of Agricultural Research and Education,scheme to develop and deploy modern machinery and mechanization tech for sustainable agriculture across pre/post-production stages.,https://www.myscheme.gov.in,18,none,any,any,"Below ₹27,000",Farmer / startup / Agri-Tech / Manufacturer,any,any,any,Central,none,any,any,"Farmers, FPOs, startups, and machinery providers involved in mechanization innovations as per guidelines."
Natural Resource Management,Department of Agricultural Research and Education,"Aims at conservation of soil, water, and resources through scientific, sustainable, and farmer-friendly approaches.",https://www.myscheme.gov.in,18,none,any,any,"Below ₹27,000",Farmer / NGO / Watershed Association / Research Org,any,any,any,Central,none,any,any,"Farmers, NGOs, and watershed bodies involved in sustainable resource conservation programs."
Crop science for Food and Nutritional Security,Department of Agricultural Research and Education,"Develops crop varieties and biotech/agronomic innovations to ensure nutritional and food security through pulses, cereals, oilseeds, etc.",https://www.myscheme.gov.in,21,none,any,any,null,ICAR / Agri University / Biotech Firm,any,any,any,Central,Graduate+,any,any,"ICAR institutions, biotech firms, universities, and R&D consortia engaged in nutritional crop improvement."
"Research, Education and Technology Development for Sustainable Livestock Health and Production",Department of Agricultural Research and Education,"Integrated effort to enhance livestock health through research, breeding, disease control, and innovation supporting nutritional security.",https://www.myscheme.gov.in,21,none,any,any,null,Livestock Farmer / Veterinary Institute / Biotech Firm,any,any,any,Central,Graduate+,any,any,"Livestock farmers, ICAR/SAU bodies, biotech firms in health and breeding innovations."
Fisheries and Aquaculture for Sustainable Development,Department of Agricultural Research and Education,"Supports sustainable inland and marine fisheries via hatchery upgrades, species diversification, and aquaculture value-chain development.",https://www.myscheme.gov.in,18,none,any,any,null,Fish Farmer / Research Institute / Hatchery Operator,any,any,any,Central,none,any,any,"Fishers, aquaculture orgs, hatcheries, research institutes engaged in sustainable practices."
"strengthening Agricultural Education, Management & Social sciences",Department of Agricultural Research and Education,"Enhances agricultural education with social science integration, improved management, and rural development research.",https://www.myscheme.gov.in,21,none,any,any,null,ICAR / SAU / Researcher / Policy Educator,any,any,any,Central,Graduate+,any,any,"Agricultural universities, ICAR divisions, educators, researchers in agri-policy and extension."
R&D projects of Bhabha Atomic Research Centre (BARC),Atomic Energy,Core research projects in nuclear science and strategic atomic energy applications for innovation.,https://www.myscheme.gov.in,21,none,any,any,null,BARC scientist / DAE Partner / Research Institute,any,any,any,Central,Graduate+,any,any,"BARC-affiliated scientists, research orgs, and strategic DAE partners working on core R&D initiatives."
